query,symbol,chr,start,end,strand,notfound
CD248,CD248,11,66314494.0,66317044.0,-1.0,False
CD27,CD27,12,6444941.0,6451718.0,1.0,False
CD28,CD28,2,203706517.0,203739756.0,1.0,False
CD2AP,CD2AP,6,47477752.0,47627263.0,1.0,False
CD2BP2,CD2BP2,16,30350767.0,30355308.0,-1.0,False
CD300A,CD300A,17,74466399.0,74484798.0,1.0,False
CD300C,CD300C,17,74534362.0,74546133.0,-1.0,False
CD300E,CD300E,17,74609878.0,74623738.0,-1.0,False
CD300LB,CD300LB,17,74519000.0,74531475.0,-1.0,False
CD300LF,CD300LF,17,74694308.0,74712981.0,-1.0,False
CD302,CD302,2,159768628.0,159798255.0,-1.0,False
CD320,CD320,19,8302126.0,8308366.0,-1.0,False
CD33,CD33,19,51217033.0,51243860.0,1.0,False
CD36,CD36,7,80369532.0,80679277.0,1.0,False
CD37,CD37,19,49335171.0,49343335.0,1.0,False
CD38,CD38,4,15778275.0,15853232.0,1.0,False
CD3D,CD3D,11,118334537.0,118342705.0,-1.0,False
CD3E,CD3E,11,118304730.0,118316175.0,1.0,False
CD3G,CD3G,11,118344344.0,118355161.0,1.0,False
CD4,CD4,12,6786858.0,6820807.0,1.0,False
CD40,CD40,20,46118249.0,46129872.0,1.0,False
CD40LG,CD40LG,X,136648158.0,136660390.0,1.0,False
CD44,CD44,11,35138882.0,35232402.0,1.0,False
CD46,CD46,1,207752037.0,207795513.0,1.0,False
CD47,CD47,3,108043091.0,108091862.0,-1.0,False
CD48,CD48,1,160678746.0,160711831.0,-1.0,False
CD5,CD5,11,61102489.0,61127852.0,1.0,False
CD52,CD52,1,26317958.0,26320523.0,1.0,False
CD53,CD53,1,110871176.0,110899936.0,1.0,False
CD55,CD55,1,207321514.0,207386804.0,1.0,False
CD58,CD58,1,116514534.0,116571039.0,-1.0,False
CD59,CD59,11,33703010.0,33736639.0,-1.0,False
CD6,CD6,11,60971675.0,61020377.0,1.0,False
CD63,CD63,12,55723511.0,55730023.0,-1.0,False
CD68,CD68,17,7579380.0,7582112.0,1.0,False
CD69,CD69,12,9752486.0,9760901.0,-1.0,False
CD7,CD7,17,82313564.0,82317608.0,-1.0,False
CD70,CD70,19,6583183.0,6604103.0,-1.0,False
CD72,CD72,9,35609982.0,35646810.0,-1.0,False
CD74,CD74,5,150401637.0,150412969.0,-1.0,False
CD79A,CD79A,19,41877279.0,41881372.0,1.0,False
CD79B,CD79B,17,63928738.0,63932629.0,-1.0,False
CD81,CD81,11,2376166.0,2397802.0,1.0,False
CD82,CD82,11,44564414.0,44620924.0,1.0,False
CD83,CD83,6,14117256.0,14140682.0,1.0,False
CD84,CD84,1,160541095.0,160579516.0,-1.0,False
CD86,CD86,3,122055362.0,122121139.0,1.0,False
CD8A,CD8A,2,86784610.0,86808396.0,-1.0,False
CD8B,CD8B,2,86815339.0,86861934.0,-1.0,False
CD9,CD9,12,6199715.0,6238271.0,1.0,False
CD93,CD93,20,23065139.0,23086324.0,-1.0,False
CD96,CD96,3,111292719.0,111665996.0,1.0,False
CD99,CD99,X,2690988.0,2741312.0,1.0,False
CD99L2,CD99L2,X,150766336.0,150898816.0,-1.0,False
CDA,CDA,1,20588932.0,20618908.0,1.0,False
CDADC1,CDADC1,13,49247917.0,49293485.0,1.0,False
CDAN1,CDAN1,15,42723544.0,42737156.0,-1.0,False
CDC123,CDC123,10,12195950.0,12250595.0,1.0,False
CDC14A,CDC14A,1,100325629.0,100520277.0,1.0,False
CDC14B,CDC14B,9,96490241.0,96619855.0,-1.0,False
CDC16,CDC16,13,114234856.0,114272723.0,1.0,False
CDC20,CDC20,1,43358928.0,43363207.0,1.0,False
CDC23,CDC23,5,138187644.0,138213343.0,-1.0,False
CDC25B,CDC25B,20,3786772.0,3806730.0,1.0,False
CDC26,CDC26,9,113255835.0,113275602.0,-1.0,False
CDC27,CDC27,17,47117703.0,47189422.0,-1.0,False
CDC34,CDC34,19,531721.0,542092.0,1.0,False
CDC37,CDC37,19,10391090.0,10420185.0,-1.0,False
CDC37L1,CDC37L1,9,4679559.0,4708399.0,1.0,False
CDC40,CDC40,6,110180141.0,110254275.0,1.0,False
CDC42,CDC42,1,22052627.0,22101360.0,1.0,False
CDC42BPB,CDC42BPB,14,102932380.0,103057549.0,-1.0,False
CDC42EP1,CDC42EP1,22,37555112.0,37569764.0,1.0,False
CDC42EP2,CDC42EP2,11,65314834.0,65322662.0,1.0,False
CDC42EP3,CDC42EP3,2,37641882.0,37738468.0,-1.0,False
CDC42EP4,CDC42EP4,17,73283624.0,73312005.0,-1.0,False
CDC42SE1,CDC42SE1,1,151050971.0,151070325.0,-1.0,False
CDC42SE2,CDC42SE2,5,131245493.0,131398447.0,1.0,False
CDC45,CDC45,22,19479457.0,19520612.0,1.0,False
CDC5L,CDC5L,6,44387565.0,44450425.0,1.0,False
CDC6,CDC6,17,40287831.0,40304657.0,1.0,False
CDC7,CDC7,1,91500535.0,91527360.0,1.0,False
CDC73,CDC73,1,193115732.0,193264613.0,1.0,False
CDCA3,CDCA3,12,6844793.0,6851318.0,-1.0,False
CDCA4,CDCA4,14,105008533.0,105025018.0,-1.0,False
CDCA5,CDCA5,11,65066300.0,65084164.0,-1.0,False
CDCA7,CDCA7,2,173354820.0,173368997.0,1.0,False
CDCA7L,CDCA7L,7,21899974.0,21946219.0,-1.0,False
CDCA8,CDCA8,1,37692481.0,37709719.0,1.0,False
CDH23,CDH23,10,71396920.0,71815947.0,1.0,False
CDHR3,CDHR3,7,105876796.0,106036432.0,1.0,False
CDIP1,CDIP1,16,4510619.0,4538828.0,-1.0,False
CDIPT,CDIPT,16,29858357.0,29863414.0,-1.0,False
CDK1,CDK1,10,60778312.0,60796236.0,1.0,False
CDK10,CDK10,16,89680737.0,89696369.0,1.0,False
CDK11A,CDK11A,1,1702379.0,1724482.0,-1.0,False
CDK11B,CDK11B,1,1635225.0,1659234.0,-1.0,False
CDK12,CDK12,17,39461437.0,39567559.0,1.0,False
CDK13,CDK13,7,39950121.0,40099580.0,1.0,False
CDK14,CDK14,7,90466424.0,91210590.0,1.0,False
CDK16,CDK16,X,47217860.0,47230000.0,1.0,False
CDK17,CDK17,12,96278242.0,96400562.0,-1.0,False
CDK18,CDK18,1,205504561.0,205532976.0,1.0,False
CDK19,CDK19,6,110609978.0,110815958.0,-1.0,False
CDK2,CDK2,12,55966781.0,55972789.0,1.0,False
CDK20,CDK20,9,87964906.0,87974764.0,-1.0,False
CDK2AP1,CDK2AP1,12,123250112.0,123272334.0,-1.0,False
CDK2AP2,CDK2AP2,11,67506490.0,67508701.0,-1.0,False
CDK3,CDK3,17,76000644.0,76005999.0,1.0,False
CDK4,CDK4,12,57747722.0,57756013.0,-1.0,False
CDK5,CDK5,7,151051517.0,151057947.0,-1.0,False
CDK5R1,CDK5R1,17,32486156.0,32491253.0,1.0,False
CDK5RAP1,CDK5RAP1,20,33358437.0,33401561.0,-1.0,False
CDK5RAP2,CDK5RAP2,9,120388875.0,120580172.0,-1.0,False
CDK5RAP3,CDK5RAP3,17,47967810.0,47981781.0,1.0,False
CDK6,CDK6,7,92604921.0,92836591.0,-1.0,False
CDK7,CDK7,5,69234795.0,69277430.0,1.0,False
CDK8,CDK8,13,26253891.0,26420982.0,1.0,False
CDK9,CDK9,9,127785679.0,127790792.0,1.0,False
CDKAL1,CDKAL1,6,20534447.0,21232855.0,1.0,False
CDKL1,CDKL1,14,50326265.0,50416461.0,-1.0,False
CDKL5,CDKL5,X,18425583.0,18653629.0,1.0,False
CDKN1A,CDKN1A,6,36676441.0,36687397.0,1.0,False
CDKN1B,CDKN1B,12,12685498.0,12722373.0,1.0,False
CDKN1C,CDKN1C,11,2883213.0,2885775.0,-1.0,False
CDKN2A,CDKN2A,9,21967752.0,21995301.0,-1.0,False
CDKN2AIP,CDKN2AIP,4,183444635.0,183449064.0,1.0,False
CDKN2AIPNL,XTBD1,5,134402065.0,134411881.0,-1.0,False
CDKN2B,CDKN2B,9,22002903.0,22009305.0,-1.0,False
CDKN2C,CDKN2C,1,50960745.0,50974634.0,1.0,False
CDKN2D,CDKN2D,19,10566460.0,10569059.0,-1.0,False
CDKN3,CDKN3,14,54396849.0,54420218.0,1.0,False
CDPF1,CDPF1,22,46244011.0,46250311.0,-1.0,False
CDR2,CDR2,16,22345936.0,22437165.0,-1.0,False
CDS2,CDS2,20,5126879.0,5197887.0,1.0,False
CDT1,CDT1,16,88803789.0,88809258.0,1.0,False
CDV3,CDV3,3,133573686.0,133590261.0,1.0,False
CDYL,CDYL,6,4706159.0,4955551.0,1.0,False
CDYL2,CDYL2,16,80597907.0,80804598.0,-1.0,False
CEACAM1,CEACAM1,19,42507304.0,42561234.0,-1.0,False
CEACAM21,CEACAM21,19,41549518.0,41586844.0,1.0,False
CEACAM3,CEACAM3,19,41796587.0,41811554.0,1.0,False
CEACAM4,CEACAM4,19,41619015.0,41627074.0,-1.0,False
CEBPA,CEBPA,19,33299934.0,33302534.0,-1.0,False
CEBPA-DT,CEBPA-DT,19,33301754.0,33305254.0,1.0,False
CEBPB,CEBPB,20,50190734.0,50192690.0,1.0,False
CEBPD,CEBPD,8,47736913.0,47738164.0,-1.0,False
CEBPE,CEBPE,14,23117036.0,23120256.0,-1.0,False
CEBPG,CEBPG,19,33373685.0,33382686.0,1.0,False
CEBPZ,CEBPZ,2,37201570.0,37231601.0,-1.0,False
CEBPZOS,CEBPZOS,2,37191473.0,37216555.0,1.0,False
CELF1,CELF1,11,47465933.0,47565569.0,-1.0,False
CELF2,CELF2,10,10798397.0,11336675.0,1.0,False
CELSR1,CELSR1,22,46360834.0,46537620.0,-1.0,False
CEMIP2,CEMIP2,9,71683364.0,71816690.0,-1.0,False
CENPA,CENPA,2,26764289.0,26801067.0,1.0,False
CENPB,CENPB,20,3783851.0,3786740.0,-1.0,False
CENPC,CENPC,4,67468762.0,67545563.0,-1.0,False
CENPE,CENPE,4,103105349.0,103198463.0,-1.0,False
CENPF,CENPF,1,214603172.0,214664574.0,1.0,False
CENPH,CENPH,5,69189542.0,69210357.0,1.0,False
CENPJ,CPAP,13,24882276.0,24922889.0,-1.0,False
CENPK,CENPK,5,65517766.0,65563183.0,-1.0,False
CENPL,CENPL,1,173799550.0,173824883.0,-1.0,False
CENPM,CENPM,22,41927514.0,41947183.0,-1.0,False
CENPN,CENPN,16,81006506.0,81033114.0,1.0,False
CENPP,CENPP,9,92325953.0,92620529.0,1.0,False
CENPQ,CENPQ,6,49463335.0,49495815.0,1.0,False
CENPS,CENPS,1,10430433.0,10442808.0,1.0,False
CENPT,CENPT,16,67828157.0,67847811.0,-1.0,False
CENPU,CENPU,4,184694085.0,184734130.0,-1.0,False
CENPV,CENPV,17,16342534.0,16353656.0,-1.0,False
CENPW,CENPW,6,126340115.0,126348875.0,1.0,False
CENPX,CENPX,17,82018590.0,82024107.0,-1.0,False
CEP104,CEP104,1,3812086.0,3857723.0,-1.0,False
CEP120,CEP120,5,123344890.0,123423592.0,-1.0,False
CEP126,CEP126,11,101915010.0,102001062.0,1.0,False
CEP128,CEP128,14,80476969.0,80959517.0,-1.0,False
CEP131,CEP131,17,81189592.0,81223014.0,-1.0,False
CEP135,CEP135,4,55948819.0,56033361.0,1.0,False
CEP152,CEP152,15,48712928.0,48811146.0,-1.0,False
CEP162,CEP162,6,84124241.0,84227685.0,-1.0,False
CEP164,CEP164,11,117314557.0,117413605.0,1.0,False
CEP170,CEP170,1,243124428.0,243255793.0,-1.0,False
CEP19,CEP19,3,196706268.0,196712598.0,-1.0,False
CEP192,CEP192,18,12991315.0,13125053.0,1.0,False
CEP250,CEP250,20,35455164.0,35519280.0,1.0,False
CEP290,CEP290,12,88049016.0,88142099.0,-1.0,False
CEP295,CEP295,11,93661682.0,93730358.0,1.0,False
CEP350,CEP350,1,179954674.0,180114880.0,1.0,False
CEP41,CEP41,7,130393771.0,130442433.0,-1.0,False
CEP44,CEP44,4,174283295.0,174333380.0,1.0,False
CEP55,CEP55,10,93496579.0,93529094.0,1.0,False
CEP57,CEP57,11,95789965.0,95832693.0,1.0,False
CEP57L1,CEP57L1,6,109095105.0,109174418.0,1.0,False
CEP63,CEP63,3,134485699.0,134587789.0,1.0,False
CEP68,CEP68,2,65056350.0,65087010.0,1.0,False
CEP70,CEP70,3,138494339.0,138594538.0,-1.0,False
CEP72,CEP72,5,612330.0,667168.0,1.0,False
CEP76,CEP76,18,12661833.0,12702777.0,-1.0,False
CEP78,CEP78,9,78236042.0,78279690.0,1.0,False
CEP83,CEP83,12,94306449.0,94459988.0,-1.0,False
CEP85,CEP85,1,26233669.0,26278814.0,1.0,False
CEP85L,CEP85L,6,118460772.0,118710075.0,-1.0,False
CEP89,CEP89,19,32875925.0,32971992.0,-1.0,False
CEP95,CEP95,17,64506767.0,64542461.0,1.0,False
CEP97,CEP97,3,101724534.0,101770562.0,1.0,False
CEPT1,CEPT1,1,111139479.0,111185507.0,1.0,False
CERCAM,CERCAM,9,128411751.0,128437351.0,1.0,False
CERK,CERK,22,46684410.0,46738267.0,-1.0,False
CERS2,CERS2,1,150960583.0,150977396.0,-1.0,False
CERS4,CERS4,19,8206736.0,8263716.0,1.0,False
CERS5,CERS5,12,50129289.0,50167533.0,-1.0,False
CERS6,CERS6,2,168456249.0,168775134.0,1.0,False
CES1,CES1,16,55802845.0,55833337.0,-1.0,False
CES2,CES2,16,66934444.0,66945096.0,1.0,False
CES4A,CES4A,16,66988585.0,67010417.0,1.0,False
CETN2,CETN2,X,152826994.0,152830782.0,-1.0,False
CETN3,CETN3,5,90392257.0,90409786.0,-1.0,False
CETP,CETP,16,56961923.0,56983845.0,1.0,False
CFAP20,CFAP20,16,58113588.0,58129429.0,-1.0,False
CFAP298,CFAP298,21,32592079.0,32612845.0,-1.0,False
CFAP36,CFAP36,2,55519559.0,55545080.0,1.0,False
CFAP44,CFAP44,3,113286930.0,113441610.0,-1.0,False
CFAP70,CFAP70,10,73253762.0,73358864.0,-1.0,False
CFAP97,CFAP97,4,185159665.0,185210815.0,-1.0,False
CFAP97D2,CFAP97D2,13,114154691.0,114223085.0,1.0,False
CFD,CFD,19,859453.0,869490.0,1.0,False
CFDP1,CFDP1,16,75293698.0,75433503.0,-1.0,False
CFH,CFH,1,196651754.0,196752476.0,1.0,False
CFL1,CFL1,11,65823022.0,65862026.0,-1.0,False
CFL2,CFL2,14,34709113.0,34714823.0,-1.0,False
CFLAR,CFLAR,2,201116154.0,201176687.0,1.0,False
CFP,CFP,X,47621537.0,47630305.0,-1.0,False
CGAS,CGAS,6,73413515.0,73461726.0,-1.0,False
CGGBP1,CGGBP1,3,88051944.0,88149885.0,-1.0,False
CGRRF1,CGRRF1,14,54509812.0,54539292.0,1.0,False
CHAC2,CHAC2,2,53767804.0,53775196.0,1.0,False
CHAF1A,CHAF1A,19,4402617.0,4445018.0,1.0,False
CHAF1B,CHAF1B,21,36385354.0,36419015.0,1.0,False
CHAMP1,CHAMP1,13,114314482.0,114337626.0,1.0,False
CHCHD1,CHCHD1,10,73782047.0,73783652.0,1.0,False
CHCHD10,CHCHD10,22,23765834.0,23767982.0,-1.0,False
CHCHD2,CHCHD2,7,56094567.0,56106505.0,-1.0,False
CHCHD3,CHCHD3,7,132784449.0,133082250.0,-1.0,False
CHCHD4,CHCHD4,3,14112077.0,14124876.0,-1.0,False
CHCHD5,CHCHD5,2,112584240.0,112589275.0,1.0,False
CHCHD6,CHCHD6,3,126704214.0,126960420.0,1.0,False
CHCHD7,CHCHD7,8,56211686.0,56218809.0,1.0,False
CHD1,CHD1,5,98853985.0,98929007.0,-1.0,False
CHD1L,CHD1L,1,147242643.0,147295767.0,1.0,False
CHD2,CHD2,15,92886203.0,93027996.0,1.0,False
CHD3,CHD3,17,7884796.0,7912760.0,1.0,False
CHD4,CHD4,12,6570081.0,6614982.0,-1.0,False
CHD6,CHD6,20,41402083.0,41618449.0,-1.0,False
CHD7,CHD7,8,60678740.0,60868028.0,1.0,False
CHD8,CHD8,14,21385194.0,21456126.0,-1.0,False
CHD9,CHD9,16,53054991.0,53329150.0,1.0,False
CHEK1,CHEK1,11,125625163.0,125676255.0,1.0,False
CHEK2,CHEK2,22,28687738.0,28742422.0,-1.0,False
CHERP,CHERP,19,16517882.0,16542448.0,-1.0,False
CHFR,CHFR,12,132822187.0,132956304.0,-1.0,False
CHI3L2,CHI3L2,1,111200771.0,111243440.0,1.0,False
CHIC1,CHIC1,X,73563197.0,73687111.0,1.0,False
CHIC2,CHIC2,4,53994803.0,54064605.0,-1.0,False
CHID1,CHID1,11,867331.0,915579.0,-1.0,False
CHKA,CHKA,11,68052859.0,68121444.0,-1.0,False
CHKB,CHKB,22,50578959.0,50601455.0,-1.0,False
CHKB-DT,CHKB-DT,22,50583026.0,50597599.0,1.0,False
CHM,CHM,X,85861180.0,86047561.0,-1.0,False
CHML,CHML,1,241628851.0,241640369.0,-1.0,False
CHMP1A,CHMP1A,16,89640816.0,89657738.0,-1.0,False
CHMP1B,CHMP1B,18,11851413.0,11854444.0,1.0,False
CHMP2A,CHMP2A,19,58551452.0,58555128.0,-1.0,False
CHMP2B,CHMP2B,3,87227271.0,87255556.0,1.0,False
CHMP3,CHMP3,2,86503430.0,86563507.0,-1.0,False
CHMP4A,CHMP4A,14,24209615.0,24213830.0,-1.0,False
CHMP4B,CHMP4B,20,33811345.0,33854366.0,1.0,False
CHMP5,CHMP5,9,33264017.0,33282071.0,1.0,False
CHMP6,CHMP6,17,80991598.0,81009517.0,1.0,False
CHMP7,CHMP7,8,23243635.0,23266156.0,1.0,False
CHN1,CHN1,2,174798809.0,175005381.0,-1.0,False
CHN2,CHN2,7,29146547.0,29514334.0,1.0,False
CHORDC1,CHORDC1,11,90200429.0,90223077.0,-1.0,False
CHP1,CHP1,15,41230824.0,41281888.0,1.0,False
CHPF,CHPF,2,219538949.0,219543818.0,-1.0,False
CHPF2,CHPF2,7,151232483.0,151240979.0,1.0,False
CHPT1,CHPT1,12,101696947.0,101744140.0,1.0,False
CHRAC1,CHRAC1,8,140511311.0,140517154.0,1.0,False
CHRM3-AS2,CHRM3-AS2,1,239703381.0,239770130.0,-1.0,False
CHRNB1,CHRNB1,17,7445061.0,7457710.0,1.0,False
CHRNE,CHRNE,17,4897771.0,4934438.0,-1.0,False
CHST10,CHST10,2,100391860.0,100417826.0,-1.0,False
CHST11,CHST11,12,104455295.0,104762014.0,1.0,False
CHST12,CHST12,7,2403442.0,2448484.0,1.0,False
CHST13,CHST13,3,126524155.0,126543291.0,1.0,False
CHST14,CHST14,15,40470984.0,40473158.0,1.0,False
CHST15,CHST15,10,124007668.0,124093698.0,-1.0,False
CHST2,CHST2,3,143119771.0,143124014.0,1.0,False
CHST7,CHST7,X,46573391.0,46598496.0,1.0,False
CHSY1,CHSY1,15,101175727.0,101252048.0,-1.0,False
CHTF18,CHTF18,16,788046.0,800737.0,1.0,False
CHTF8,CHTF8,16,69118010.0,69132588.0,-1.0,False
CHTOP,CHTOP,1,153633982.0,153646306.0,1.0,False
CHUK,CHUK,10,100188300.0,100229596.0,-1.0,False
CHURC1,CHURC1,14,64914361.0,64944591.0,1.0,False
CIAO1,CIAO1,2,96266159.0,96274173.0,1.0,False
CIAPIN1,CIAPIN1,16,57428177.0,57447420.0,-1.0,False
CIB1,CIB1,15,90229975.0,90234047.0,-1.0,False
CIB2,CIB2,15,78104606.0,78131535.0,-1.0,False
CIC,CIC,19,42268537.0,42295801.0,1.0,False
CIITA,CIITA,16,10866222.0,10943021.0,1.0,False
CINP,CINP,14,102341102.0,102362916.0,-1.0,False
CIP2A,CIP2A,3,108549864.0,108589644.0,-1.0,False
CIPC,CIPC,14,77098126.0,77117287.0,1.0,False
CIR1,UBE2V1,20,50081122.0,50115959.0,-1.0,False
CIRBP,CIRBP,19,1259384.0,1274880.0,1.0,False
CISD1,CISD1,10,58269151.0,58289586.0,1.0,False
CISD2,CISD2,4,102868971.0,102892807.0,1.0,False
CISD3,CISD3,17,38730318.0,38735605.0,1.0,False
CISH,CISH,3,50606456.0,50611774.0,-1.0,False
CITED2,CITED2,6,139371807.0,139375909.0,-1.0,False
CITED4,CITED4,1,40861054.0,40862363.0,-1.0,False
CIZ1,CIZ1,9,128161251.0,128204482.0,-1.0,False
CKAP2,CKAP2,13,52455429.0,52476630.0,1.0,False
CKAP4,CKAP4,12,106237880.0,106304279.0,-1.0,False
CKAP5,CKAP5,11,46743048.0,46846308.0,-1.0,False
CKB,CKB,14,103519660.0,103523167.0,-1.0,False
CKLF,CKLF,16,66552563.0,66566251.0,1.0,False
CKMT2-AS1,CKMT2-AS1,5,81201341.0,81301582.0,-1.0,False
CKS1B,CKS1B,1,154974641.0,154979251.0,1.0,False
CKS2,CKS2,9,89311155.0,89316715.0,1.0,False
CLASP1,CLASP1,2,121337776.0,121649599.0,-1.0,False
CLASP2,CLASP2,3,33496187.0,33718414.0,-1.0,False
CLASRP,CLASRP,19,45039045.0,45070956.0,1.0,False
CLCC1,CLCC1,1,108881885.0,108963527.0,-1.0,False
CLCF1,CLCF1,11,67364168.0,67374177.0,-1.0,False
CLCN3,CLCN3,4,169612438.0,169723673.0,1.0,False
CLCN4,CLCN4,X,10156943.0,10237660.0,1.0,False
CLCN5,CLCN5,X,49922596.0,50099235.0,1.0,False
CLCN6,CLCN6,1,11806096.0,11848079.0,1.0,False
CLCN7,CLCN7,16,1444934.0,1475104.0,-1.0,False
CLDN15,CLDN15,7,101232092.0,101238820.0,-1.0,False
CLDN5,CLDN5,22,19523024.0,19527545.0,-1.0,False
CLDN7,CLDN7,17,7259347.0,7264016.0,-1.0,False
CLDND1,CLDND1,3,98497912.0,98523066.0,-1.0,False
CLDND2,CLDND2,19,51367098.0,51369003.0,-1.0,False
CLEC10A,CLEC10A,17,7074537.0,7081166.0,-1.0,False
CLEC11A,CLEC11A,19,50723286.0,50725719.0,1.0,False
CLEC12A,CLEC12A,12,9951316.0,9995694.0,1.0,False
CLEC16A,CLEC16A,16,10944539.0,11182186.0,1.0,False
CLEC17A,CLEC17A,19,14583084.0,14612035.0,1.0,False
CLEC1B,CLEC1B,12,9985642.0,10013424.0,-1.0,False
CLEC2B,CLEC2B,12,9852369.0,9870635.0,-1.0,False
CLEC2D,CLEC2D,12,9664969.0,9699553.0,1.0,False
CLEC4A,CLEC4A,12,8123617.0,8138607.0,1.0,False
CLEC4C,CLEC4C,12,7724646.0,7751620.0,-1.0,False
CLEC4D,CLEC4D,12,8509475.0,8522366.0,1.0,False
CLEC4E,CLEC4E,12,8533305.0,8540905.0,-1.0,False
CLEC4F,CLEC4F,2,70808643.0,70820599.0,-1.0,False
CLEC4G,CLEC4G,19,7728957.0,7733906.0,-1.0,False
CLEC5A,CLEC5A,7,141927357.0,141947007.0,-1.0,False
CLEC7A,CLEC7A,12,10116777.0,10130258.0,-1.0,False
CLEC9A,CLEC9A,12,10030678.0,10066031.0,1.0,False
CLHC1,CLHC1,2,55172547.0,55232563.0,-1.0,False
CLIC1,CLIC1,6,31730581.0,31740558.0,-1.0,False
CLIC2,CLIC2,X,155276211.0,155334673.0,-1.0,False
CLIC3,CLIC3,9,136994608.0,136996568.0,-1.0,False
CLIC4,CLIC4,1,24745342.0,24844321.0,1.0,False
CLIC5,CLIC5,6,45880827.0,46080348.0,-1.0,False
CLINT1,CLINT1,5,157785743.0,157859169.0,-1.0,False
CLIP1,CLIP1,12,122271432.0,122422778.0,-1.0,False
CLIP2,CLIP2,7,74289407.0,74405943.0,1.0,False
CLIP4,CLIP4,2,29095545.0,29199777.0,1.0,False
CLK1,CLK1,2,200853009.0,200864697.0,-1.0,False
CLK2,CLK2,1,155262868.0,155278491.0,-1.0,False
CLK3,CLK3,15,74598500.0,74645414.0,1.0,False
CLK4,CLK4,5,178602664.0,178630615.0,-1.0,False
CLMN,CLMN,14,95181940.0,95319921.0,-1.0,False
CLN3,CLN3,16,28474111.0,28495575.0,-1.0,False
CLN5,CLN5,13,76990660.0,77019143.0,1.0,False
CLN6,CLN6,15,68206992.0,68257211.0,-1.0,False
CLN8,CLN8,8,1755778.0,1801711.0,1.0,False
CLNS1A,CLNS1A,11,77514936.0,77637809.0,-1.0,False
CLOCK,CLOCK,4,55427903.0,55547491.0,-1.0,False
CLP1,CLP1,11,57648188.0,57661865.0,1.0,False
CLPB,CLPB,11,72285495.0,72434680.0,-1.0,False
CLPP,CLPP,19,6361427.0,6370242.0,1.0,False
CLPTM1,CLPTM1,19,44954585.0,44993341.0,1.0,False
CLPTM1L,CLPTM1L,5,1317744.0,1345099.0,-1.0,False
CLPX,CLPX,15,65148219.0,65185393.0,-1.0,False
CLSPN,CLSPN,1,35720218.0,35770002.0,-1.0,False
CLSTN1,CLSTN1,1,9728926.0,9823993.0,-1.0,False
CLSTN3,CLSTN3,12,7128077.0,7158945.0,1.0,False
CLTA,CLTA,9,36190856.0,36304781.0,1.0,False
CLTB,CLTB,5,176392494.0,176416557.0,-1.0,False
CLTC,CLTC,17,59619680.0,59696956.0,1.0,False
CLU,CLU,8,27596917.0,27615056.0,-1.0,False
CLUAP1,IFT38,16,3500976.0,3540653.0,1.0,False
CLUH,CLUH,17,2689386.0,2712663.0,-1.0,False
CLYBL,CLYBL,13,99606641.0,99909459.0,1.0,False
CMAS,CMAS,12,22046174.0,22065674.0,1.0,False
CMBL,CMBL,5,10275875.0,10307974.0,-1.0,False
CMC1,CMC1,3,28241584.0,28325142.0,1.0,False
CMC2,CMC2,16,80966448.0,81020270.0,-1.0,False
CMC4,CMC4,X,155061622.0,155071136.0,-1.0,False
CMIP,CMIP,16,81444808.0,81711762.0,1.0,False
CMKLR1,CMKLR1,12,108288044.0,108339317.0,-1.0,False
CMPK1,CMPK1,1,47333790.0,47394866.0,1.0,False
CMPK2,CMPK2,2,6840570.0,6866635.0,-1.0,False
CMSS1,CMSS1,3,99817837.0,100181732.0,1.0,False
CMTM2,CMTM2,16,66579448.0,66588275.0,1.0,False
CMTM3,CMTM3,16,66603874.0,66613892.0,1.0,False
CMTM4,CMTM4,16,66614750.0,66696743.0,-1.0,False
CMTM5,CMTM5,14,23376627.0,23379772.0,1.0,False
CMTM6,CMTM6,3,32474175.0,32502852.0,-1.0,False
CMTM7,CMTM7,3,32391686.0,32483067.0,1.0,False
CMTM8,CMTM8,3,32237207.0,32370699.0,1.0,False
CMTR1,CMTR1,6,37433094.0,37482827.0,1.0,False
CMTR2,CMTR2,16,71281389.0,71289715.0,-1.0,False
CNBP,CNBP,3,129167818.0,129184008.0,-1.0,False
CNDP2,CNDP2,18,74494112.0,74523557.0,1.0,False
CNEP1R1,CNEP1R1,16,50024410.0,50037088.0,1.0,False
CNIH1,CNIH1,14,54423561.0,54441439.0,-1.0,False
CNIH3,CNIH3,1,224434660.0,224740559.0,1.0,False
CNIH4,CNIH4,1,224356858.0,224379459.0,1.0,False
CNKSR1,CNKSR1,1,26177476.0,26189884.0,1.0,False
CNKSR2,CNKSR2,X,21372801.0,21654695.0,1.0,False
CNN2,CNN2,19,1026547.0,1039077.0,1.0,False
CNN3,CNN3,1,94896949.0,94927696.0,-1.0,False
CNNM2,CNNM2,10,102918286.0,103090222.0,1.0,False
CNNM3,CNNM3,2,96816245.0,96835382.0,1.0,False
CNNM4,CNNM4,2,96760898.0,96811888.0,1.0,False
CNOT1,CNOT1,16,58519951.0,58629885.0,-1.0,False
CNOT10,CNOT10,3,32685139.0,32773875.0,1.0,False
CNOT11,CNOT11,2,101252873.0,101270316.0,1.0,False
CNOT2,CNOT2,12,70243002.0,70354993.0,1.0,False
CNOT3,CNOT3,19,54137710.0,54155708.0,1.0,False
CNOT4,CNOT4,7,135361795.0,135510145.0,-1.0,False
CNOT6,CNOT6,5,180494334.0,180578401.0,1.0,False
